# 유럽 시드 — 여러 거래소·통화가 섞여 있다. 시총 랭킹은 USD 환산 후 정렬한다.
#
# ★ 매수 제약이 가장 큰 지역이다. 미래에셋증권은 유럽 온라인 매매를 지원하지 않고
#   오프라인(전화) 주문만 가능한 것으로 알려져 있다(반드시 직접 확인).
#   NYSE/NASDAQ 정식상장 ADR 이 있는 종목(ASML, SAP, NVO, AZN, SHEL, UL, BUD, DEO 등)만
#   온라인으로 접근 가능하며, 이는 유럽 고ROIC 상위 30개를 다 채우지 못한다.
#
# 회계보고 제약: 유럽 상당수는 반기 보고만 한다. '26 1H 데이터가 없으면
#   커버 구간이 '24~'25 로 줄어든다 — '기간커버' 컬럼에서 확인할 것.

# ---- Euronext Amsterdam (.AS, EUR) ----
ASML.AS     # ASML
ALFA.ST     # Alfa Laval
TEL2-B.ST   # Tele2
EVO.ST      # Evolution AB
NIBE-B.ST   # NIBE Industrier
SAAB-B.ST   # Saab
HM-B.ST     # H&M

# ---- Nasdaq Helsinki (.HE, EUR) ----
NESTE.HE    # Neste
NOKIA.HE    # Nokia
SAMPO.HE    # Sampo
KNEBV.HE    # KONE
UPM.HE      # UPM-Kymmene
FORTUM.HE   # Fortum
STERV.HE    # Stora Enso
ORNBV.HE    # Orion
ELISA.HE    # Elisa
METSO.HE    # Metso

# ---- Oslo Bors (.OL, NOK) ----
EQNR.OL     # Equinor
DNB.OL      # DNB Bank
TEL.OL      # Telenor
MOWI.OL     # Mowi
NHY.OL      # Norsk Hydro
YAR.OL      # Yara International
AKRBP.OL    # Aker BP
ORK.OL      # Orkla
KOG.OL      # Kongsberg Gruppen
TOM.OL      # Tomra Systems
SUBC.OL     # Subsea 7

# ---- Euronext Brussels (.BR, EUR) ----
ABI.BR      # Anheuser-Busch InBev
KBC.BR      # KBC Group
UCB.BR      # UCB
SOLB.BR     # Solvay
ARGX.BR     # argenx
UMI.BR      # Umicore
GBLB.BR     # Groupe Bruxelles Lambert
ELI.BR      # Elia Group

# ---- Euronext Lisbon (.LS, EUR) / Dublin (.IR) / Wien (.VI) ----
EDP.LS      # EDP
GALP.LS     # Galp Energia
JMT.LS      # Jeronimo Martins
KRZ.IR      # Kerry Group
RYA.IR      # Ryanair
OMV.VI      # OMV
VER.VI      # Verbund
EBS.VI      # Erste Group
